id,content,chat_type,secondary_emotions,is_multilabel,label_set,conversation_id
msg_00667,"I am angry that they treated me this way, but underneath that anger I mostly feel hurt. It was difficult to describe the mood with one word.",angry,sad,True,"angry,sad",conv_00021
msg_00077,I had more energy than usual and it felt great.,happy,,False,happy,conv_00021
msg_00003,I cannot stop smiling after that news.,happy,,False,happy,conv_00021
msg_00282,"Honestly, that was the last straw.",angry,,False,angry,conv_00022
msg_00303,I feel nervous about what might happen.,anxious,,False,anxious,conv_00022
msg_00546,"Today, i am thinking about ending my life.",suicidal,,False,suicidal,conv_00022
msg_00702,"I am happy about the opportunity, nervous about the pressure, and annoyed that I was given so little time.",happy,"anxious,angry",True,"happy,anxious,angry",conv_00022
msg_00334,I feel shaky when I think about it.,anxious,,False,anxious,conv_00023
msg_00333,I keep wondering whether I said the wrong thing.,anxious,,False,anxious,conv_00023
msg_00287,"Lately, right now I am still boiling over what happened.",angry,,False,angry,conv_00023
msg_00703,"I feel hurt about what happened, worried about what comes next, and angry that nobody listened.",sad,"anxious,angry",True,"sad,anxious,angry",conv_00023
msg_00214,I wanted to yell when I heard that.,angry,,False,angry,conv_00024
msg_00350,"Lately, i feel nervous about what might happen.",anxious,,False,anxious,conv_00024
msg_00102,I am feeling deeply sad today.,sad,,False,sad,conv_00024
msg_00494,"Honestly, i went about my day as usual.",neutral,,False,neutral,conv_00024
msg_00633,"I am hurt by what happened, and the hurt keeps turning into anger. The two feelings seemed to sit together rather than replace each other.",sad,angry,True,"sad,angry",conv_00025
msg_00091,I am genuinely pleased with myself.,happy,,False,happy,conv_00025
msg_00182,I am feeling lonely enough that even small things hurt.,sad,,False,sad,conv_00025
msg_00312,Right now I am worried that I will mess this up.,anxious,,False,anxious,conv_00025
msg_00061,I finally got to do something I love.,happy,,False,happy,conv_00026
msg_00297,"Honestly, right now I am irritated by everything right now.",angry,,False,angry,conv_00026
msg_00031,Right now I am proud of how far I have come.,happy,,False,happy,conv_00026
msg_00070,I feel proud rather than doubtful for once.,happy,,False,happy,conv_00026
msg_00508,I do not see a reason to stay alive.,suicidal,,False,suicidal,conv_00027
msg_00236,I cannot pretend I am not angry.,angry,,False,angry,conv_00027
msg_00045,I am feeling confident that things are moving in the right direction.,happy,,False,happy,conv_00027
msg_00399,"Honestly, i keep expecting bad news.",anxious,,False,anxious,conv_00027
msg_00071,I am feeling proud rather than doubtful for once.,happy,,False,happy,conv_00028
msg_00165,I feel empty when the day gets quiet.,sad,,False,sad,conv_00028
msg_00290,"Lately, i wanted to yell when I heard that.",angry,,False,angry,conv_00028
msg_00213,Right now I am still boiling over what happened.,angry,,False,angry,conv_00028
msg_00137,Right now I am struggling to get through the day.,sad,,False,sad,conv_00029
msg_00212,I am still boiling over what happened.,angry,,False,angry,conv_00029
msg_00517,I keep thinking about ending everything.,suicidal,,False,suicidal,conv_00029
msg_00149,I feel hurt whenever I remember what happened.,sad,,False,sad,conv_00029
msg_00576,"Today, i am feeling like death is the only escape.",suicidal,,False,suicidal,conv_00030
msg_00335,I am feeling shaky when I think about it.,anxious,,False,anxious,conv_00030
msg_00585,"Today, i am afraid I might hurt myself.",suicidal,,False,suicidal,conv_00030
msg_00666,"I am angry that they treated me this way, but underneath that anger I mostly feel hurt. I could feel both reactions at once.",angry,sad,True,"angry,sad",conv_00030
msg_00066,I am feeling warm and grateful inside.,happy,,False,happy,conv_00031
msg_00526,I am feeling like there is no way out except death.,suicidal,,False,suicidal,conv_00031
msg_00050,I feel joyful and full of energy.,happy,,False,happy,conv_00031
msg_00551,"Honestly, i do not want to be alive anymore.",suicidal,,False,suicidal,conv_00031
msg_00136,I am struggling to get through the day.,sad,,False,sad,conv_00032
msg_00040,I am feeling lighter after such a great day.,happy,,False,happy,conv_00032
msg_00549,"Today, right now I am thinking about ending my life.",suicidal,,False,suicidal,conv_00032
msg_00523,Right now I am thinking about dying more than usual.,suicidal,,False,suicidal,conv_00032
msg_00007,I am excited about what comes next.,happy,,False,happy,conv_00033
msg_00210,I am feeling disrespected and frustrated.,angry,,False,angry,conv_00033
msg_00324,I am feeling uneasy about the whole situation.,anxious,,False,anxious,conv_00033
msg_00586,"Lately, right now I am afraid I might hurt myself.",suicidal,,False,suicidal,conv_00033
msg_00412,Nothing really stood out today.,neutral,,False,neutral,conv_00034
msg_00133,Everything feels dull right now.,sad,,False,sad,conv_00034
msg_00396,"Honestly, i am feeling on edge tonight.",anxious,,False,anxious,conv_00034
msg_00042,Right now I am smiling just thinking about what happened.,happy,,False,happy,conv_00034
msg_00109,I am feeling emotionally drained and low.,sad,,False,sad,conv_00035
msg_00258,"Honestly, that completely pissed me off.",angry,,False,angry,conv_00035
msg_00057,I am looking forward to tomorrow.,happy,,False,happy,conv_00035
msg_00687,"Everything was normal today, but I noticed a quiet sadness in the background. It was difficult to describe the mood with one word.",neutral,sad,True,"neutral,sad",conv_00035
msg_00616,"The day was ordinary overall, but one small success genuinely made me smile. I could feel both reactions at once.",happy,neutral,True,"happy,neutral",conv_00036
msg_00025,Right now I am in such a good mood today.,happy,,False,happy,conv_00036
msg_00156,I am feeling worn out emotionally.,sad,,False,sad,conv_00036
msg_00211,That was the last straw.,angry,,False,angry,conv_00036
msg_00261,"Honestly, i feel furious after that conversation.",angry,,False,angry,conv_00037
msg_00425,Everything went more or less as expected.,neutral,,False,neutral,conv_00037
msg_00540,I feel unable to keep myself safe.,suicidal,,False,suicidal,conv_00037
msg_00111,I wish things had turned out differently.,sad,,False,sad,conv_00037
msg_00083,I am happy with the person I am becoming.,happy,,False,happy,conv_00038
msg_00052,I am really enjoying this phase of my life.,happy,,False,happy,conv_00038
msg_00406,I attended class and came home.,neutral,,False,neutral,conv_00038
msg_00639,"Nothing dramatic happened today, but I still felt unusually low. I noticed the second feeling more once I had calmed down.",sad,neutral,True,"sad,neutral",conv_00038
msg_00591,"Today, i do not feel safe with my own thoughts.",suicidal,,False,suicidal,conv_00039
msg_00632,"I am hurt by what happened, and the hurt keeps turning into anger. It was difficult to describe the mood with one word.",sad,angry,True,"sad,angry",conv_00039
msg_00655,"I am worried about losing this opportunity, and the thought makes me genuinely sad. By the evening, I was still carrying both emotions.",anxious,sad,True,"anxious,sad",conv_00039
msg_00531,I wish I could disappear permanently.,suicidal,,False,suicidal,conv_00039
msg_00337,Right now I am worried I am not prepared.,anxious,,False,anxious,conv_00040
msg_00019,Right now I am thrilled about the opportunity.,happy,,False,happy,conv_00040
msg_00645,"I was already nervous about the meeting, and the delay made me really irritated. By the evening, I was still carrying both emotions.",anxious,angry,True,"anxious,angry",conv_00040
msg_00487,"Lately, i had a regular evening at home.",neutral,,False,neutral,conv_00040
msg_00440,"Honestly, i spent most of the day doing normal things.",neutral,,False,neutral,conv_00041
msg_00577,"Lately, i am having suicidal thoughts again.",suicidal,,False,suicidal,conv_00041
msg_00062,I had a fantastic afternoon.,happy,,False,happy,conv_00041
msg_00624,"I felt lonely today, but a friend's message gave me a small reason to smile. I noticed the second feeling more once I had calmed down.",sad,happy,True,"sad,happy",conv_00041
msg_00537,I am feeling like I have reached the end of what I can handle.,suicidal,,False,suicidal,conv_00042
msg_00030,I am proud of how far I have come.,happy,,False,happy,conv_00042
msg_00376,"Today, i am worried that I will mess this up.",anxious,,False,anxious,conv_00042
msg_00224,That comment crossed a line.,angry,,False,angry,conv_00042
msg_00486,"Today, i worked through my usual tasks.",neutral,,False,neutral,conv_00043
msg_00339,I am feeling restless even though everything is fine.,anxious,,False,anxious,conv_00043
msg_00447,"Today, i attended class and came home.",neutral,,False,neutral,conv_00043
msg_00205,I am feeling furious after that conversation.,angry,,False,angry,conv_00043
msg_00378,"Honestly, right now I am worried that I will mess this up.",anxious,,False,anxious,conv_00044
msg_00498,"Today, most of today was routine.",neutral,,False,neutral,conv_00044
msg_00245,I am feeling completely fed up tonight.,angry,,False,angry,conv_00044
msg_00240,I feel my temper rising every time I think about it.,angry,,False,angry,conv_00044
msg_00336,I am worried I am not prepared.,anxious,,False,anxious,conv_00045
msg_00372,"Honestly, i am feeling tense and restless.",anxious,,False,anxious,conv_00045
msg_00177,I have been carrying this sadness for a while.,sad,,False,sad,conv_00045
msg_00400,"Today, i keep expecting bad news.",anxious,,False,anxious,conv_00045
msg_00216,Right now I am irritated by everything right now.,angry,,False,angry,conv_00046
msg_00569,"Honestly, i keep wishing I were dead.",suicidal,,False,suicidal,conv_00046
msg_00266,"Lately, i cannot believe they treated me that way.",angry,,False,angry,conv_00046
msg_00688,"Everything was normal today, but I noticed a quiet sadness in the background. The two feelings seemed to sit together rather than replace each other.",neutral,sad,True,"neutral,sad",conv_00046
msg_00164,I keep thinking about someone who is no longer close to me.,sad,,False,sad,conv_00047
msg_00519,I have thoughts of taking my own life.,suicidal,,False,suicidal,conv_00047
msg_00619,"The day was ordinary overall, but one small success genuinely made me smile. I noticed the second feeling more once I had calmed down.",happy,neutral,True,"happy,neutral",conv_00047
msg_00448,"Lately, everything was fairly routine today.",neutral,,False,neutral,conv_00047
msg_00355,"Today, i am feeling nervous about what might happen.",anxious,,False,anxious,conv_00048
msg_00285,"Honestly, i am still boiling over what happened.",angry,,False,angry,conv_00048
msg_00418,Things were fairly quiet today.,neutral,,False,neutral,conv_00048
msg_00105,I feel lonely even when people are around me.,sad,,False,sad,conv_00048
msg_00115,I am feeling empty after everything that happened.,sad,,False,sad,conv_00049
msg_00634,"I am hurt by what happened, and the hurt keeps turning into anger. I noticed the second feeling more once I had calmed down.",sad,angry,True,"sad,angry",conv_00049
msg_00542,I am exhausted from living and want it all to stop.,suicidal,,False,suicidal,conv_00049
msg_00300,"Honestly, i feel like my patience is gone.",angry,,False,angry,conv_00049
msg_00093,I feel cheerful enough to tackle tomorrow.,happy,,False,happy,conv_00050
msg_00008,Right now I am excited about what comes next.,happy,,False,happy,conv_00050
msg_00090,Today reminded me that good things can happen.,happy,,False,happy,conv_00050
msg_00535,I keep imagining not being here anymore.,suicidal,,False,suicidal,conv_00050
msg_00640,"Nothing dramatic happened today, but I still felt unusually low. By the evening, I was still carrying both emotions.",sad,neutral,True,"sad,neutral",conv_00051
msg_00528,I have been seriously considering suicide.,suicidal,,False,suicidal,conv_00051
msg_00383,"Lately, i am scared of making the wrong choice.",anxious,,False,anxious,conv_00051
msg_00382,"Today, i keep second-guessing myself.",anxious,,False,anxious,conv_00051
msg_00516,I do not feel safe with my own thoughts.,suicidal,,False,suicidal,conv_00052
msg_00141,I am feeling disconnected from everyone.,sad,,False,sad,conv_00052
msg_00029,I enjoyed every minute of the event.,happy,,False,happy,conv_00052
msg_00044,I feel confident that things are moving in the right direction.,happy,,False,happy,conv_00052
msg_00043,I had a really rewarding day.,happy,,False,happy,conv_00053
msg_00074,That achievement made me incredibly happy.,happy,,False,happy,conv_00053
msg_00168,Right now I am having trouble feeling hopeful.,sad,,False,sad,conv_00053
msg_00559,"Lately, i am feeling like I cannot keep living this way.",suicidal,,False,suicidal,conv_00053
msg_00617,"The day was ordinary overall, but one small success genuinely made me smile. It was difficult to describe the mood with one word.",happy,neutral,True,"happy,neutral",conv_00054
msg_00067,I am genuinely excited about my plans.,happy,,False,happy,conv_00054
msg_00012,I am cheerful and full of energy today.,happy,,False,happy,conv_00054
msg_00368,"Lately, i feel tense and restless.",anxious,,False,anxious,conv_00054
msg_00594,"Today, i keep thinking about ending everything.",suicidal,,False,suicidal,conv_00055
msg_00179,I am feeling crushed by the disappointment.,sad,,False,sad,conv_00055
msg_00660,"Everything is normal on the surface, but I cannot stop feeling nervous about tomorrow. By the evening, I was still carrying both emotions.",anxious,neutral,True,"anxious,neutral",conv_00055
msg_00395,"Lately, i am feeling on edge tonight.",anxious,,False,anxious,conv_00055
msg_00483,"Today, things were fairly quiet today.",neutral,,False,neutral,conv_00056
msg_00347,"Lately, my thoughts are racing again.",anxious,,False,anxious,conv_00056
msg_00430,"Lately, today was pretty ordinary.",neutral,,False,neutral,conv_00056
msg_00178,I feel crushed by the disappointment.,sad,,False,sad,conv_00056
msg_00466,"Lately, i studied for a while this afternoon.",neutral,,False,neutral,conv_00057
msg_00454,"Lately, i followed my normal schedule.",neutral,,False,neutral,conv_00057
msg_00084,Right now I am happy with the person I am becoming.,happy,,False,happy,conv_00057
msg_00219,I am furious that they blamed me.,angry,,False,angry,conv_00057
msg_00463,"Lately, nothing really stood out today.",neutral,,False,neutral,conv_00058
msg_00364,"Today, i cannot seem to relax.",anxious,,False,anxious,conv_00058
msg_00265,"Today, i am feeling furious after that conversation.",angry,,False,angry,conv_00058
msg_00470,"Honestly, it was an uneventful day.",neutral,,False,neutral,conv_00058
msg_00080,I feel optimistic about where this is heading.,happy,,False,happy,conv_00059
msg_00024,I am in such a good mood today.,happy,,False,happy,conv_00059
msg_00016,I feel lucky to have people like this around me.,happy,,False,happy,conv_00059
msg_00391,"Today, my mind will not switch off.",anxious,,False,anxious,conv_00059
msg_00276,"Honestly, i feel disrespected and frustrated.",angry,,False,angry,conv_00060
msg_00248,Right now I am still worked up over the argument.,angry,,False,angry,conv_00060
msg_00705,"Everything went normally, though I was pleased about one thing and nervous about another.",neutral,"happy,anxious",True,"neutral,happy,anxious",conv_00060
msg_00362,"Lately, i cannot seem to relax.",anxious,,False,anxious,conv_00060
msg_00358,"Today, i have a knot in my stomach.",anxious,,False,anxious,conv_00061
msg_00627,I feel sad about what happened and keep worrying that things will get worse. It was difficult to describe the mood with one word.,sad,anxious,True,"sad,anxious",conv_00061
msg_00138,I felt close to tears for most of the evening.,sad,,False,sad,conv_00061
msg_00361,"Today, i keep imagining everything going wrong.",anxious,,False,anxious,conv_00061
msg_00315,Right now I am scared of making the wrong choice.,anxious,,False,anxious,conv_00062
msg_00034,I had an amazing time with everyone.,happy,,False,happy,conv_00062
msg_00257,"Lately, that completely pissed me off.",angry,,False,angry,conv_00062
msg_00431,"Honestly, today was pretty ordinary.",neutral,,False,neutral,conv_00062
msg_00474,"Today, i spent some time reading and resting.",neutral,,False,neutral,conv_00063
msg_00010,I feel grateful for how well today turned out.,happy,,False,happy,conv_00063
msg_00250,I am feeling angry whenever I remember what they said.,angry,,False,angry,conv_00063
msg_00023,Today gave me a reason to celebrate.,happy,,False,happy,conv_00063
msg_00311,I am worried that I will mess this up.,anxious,,False,anxious,conv_00064
msg_00222,I am seriously annoyed with them.,angry,,False,angry,conv_00064
msg_00573,"Today, i feel like death is the only escape.",suicidal,,False,suicidal,conv_00064
msg_00684,"The day was routine overall, although I felt genuinely pleased about one small success. I noticed the second feeling more once I had calmed down.",neutral,happy,True,"neutral,happy",conv_00064
msg_00691,"My day followed the usual routine, but I kept worrying about tomorrow. I could feel both reactions at once.",neutral,anxious,True,"neutral,anxious",conv_00065
msg_00699,"Nothing unusual happened, except for one interaction that left me irritated. I noticed the second feeling more once I had calmed down.",neutral,angry,True,"neutral,angry",conv_00065
msg_00589,"Lately, i do not feel safe with my own thoughts.",suicidal,,False,suicidal,conv_00065
msg_00204,I feel furious after that conversation.,angry,,False,angry,conv_00065
msg_00409,I followed my normal schedule.,neutral,,False,neutral,conv_00066
msg_00094,I am feeling cheerful enough to tackle tomorrow.,happy,,False,happy,conv_00066
msg_00550,"Lately, i do not want to be alive anymore.",suicidal,,False,suicidal,conv_00066
msg_00293,"Lately, i am irritated by everything right now.",angry,,False,angry,conv_00066
msg_00469,"Lately, it was an uneventful day.",neutral,,False,neutral,conv_00067
msg_00185,I am feeling exhausted from pretending everything is fine.,sad,,False,sad,conv_00067
msg_00568,"Lately, i keep wishing I were dead.",suicidal,,False,suicidal,conv_00067
msg_00301,I cannot stop worrying about tomorrow.,anxious,,False,anxious,conv_00067
msg_00154,I have been withdrawing from everyone lately.,sad,,False,sad,conv_00068
msg_00076,I am feeling positive about what is ahead.,happy,,False,happy,conv_00068
msg_00353,"Lately, i am feeling nervous about what might happen.",anxious,,False,anxious,conv_00068
msg_00069,I had a beautiful moment today.,happy,,False,happy,conv_00068
msg_00389,"Lately, my mind will not switch off.",anxious,,False,anxious,conv_00069
msg_00189,I do not have the energy to enjoy anything tonight.,sad,,False,sad,conv_00069
msg_00272,"Lately, right now I am fed up with being ignored.",angry,,False,angry,conv_00069
msg_00237,I am in no mood to forgive them yet.,angry,,False,angry,conv_00069
msg_00089,I am feeling like celebrating tonight.,happy,,False,happy,conv_00070
msg_00597,"Today, i cannot imagine continuing to live like this.",suicidal,,False,suicidal,conv_00070
msg_00118,I am feeling hurt by how things ended.,sad,,False,sad,conv_00070
msg_00126,I feel disappointed and emotionally exhausted.,sad,,False,sad,conv_00070
msg_00578,"Honestly, i am having suicidal thoughts again.",suicidal,,False,suicidal,conv_00071
msg_00239,That situation made me furious.,angry,,False,angry,conv_00071
msg_00001,I am genuinely happy today.,happy,,False,happy,conv_00071
msg_00698,"Nothing unusual happened, except for one interaction that left me irritated. The two feelings seemed to sit together rather than replace each other.",neutral,angry,True,"neutral,angry",conv_00071
msg_00291,"Honestly, i wanted to yell when I heard that.",angry,,False,angry,conv_00072
msg_00488,"Honestly, i had a regular evening at home.",neutral,,False,neutral,conv_00072
msg_00351,"Honestly, i feel nervous about what might happen.",anxious,,False,anxious,conv_00072
msg_00279,"Honestly, i am feeling disrespected and frustrated.",angry,,False,angry,conv_00072
msg_00117,I feel hurt by how things ended.,sad,,False,sad,conv_00073
msg_00229,I am angry that nobody listened.,angry,,False,angry,conv_00073
msg_00394,"Today, i feel on edge tonight.",anxious,,False,anxious,conv_00073
msg_00329,I am feeling overwhelmed by uncertainty.,anxious,,False,anxious,conv_00073
msg_00275,"Lately, i feel disrespected and frustrated.",angry,,False,angry,conv_00074
msg_00452,"Honestly, i do not have much to report.",neutral,,False,neutral,conv_00074
msg_00145,I feel worn down by sadness.,sad,,False,sad,conv_00074
msg_00607,"I am thrilled about the opportunity, although I keep worrying that I might mess it up. It was difficult to describe the mood with one word.",happy,anxious,True,"happy,anxious",conv_00074
msg_00446,"Honestly, i attended class and came home.",neutral,,False,neutral,conv_00075
msg_00638,"Nothing dramatic happened today, but I still felt unusually low. The two feelings seemed to sit together rather than replace each other.",sad,neutral,True,"sad,neutral",conv_00075
msg_00513,Right now I am having suicidal thoughts again.,suicidal,,False,suicidal,conv_00075
msg_00269,"Lately, i am fed up with being ignored.",angry,,False,angry,conv_00075
msg_00674,"I am still annoyed about the argument, although I was happy about how the rest of the day went. I noticed the second feeling more once I had calmed down.",angry,happy,True,"angry,happy",conv_00076
msg_00047,Right now I am delighted with the result.,happy,,False,happy,conv_00076
msg_00262,"Today, i feel furious after that conversation.",angry,,False,angry,conv_00076
msg_00196,I wish I could feel like myself again.,sad,,False,sad,conv_00076
msg_00706,"Most of the day was ordinary, but one event left me both hurt and irritated.",neutral,"sad,angry",True,"neutral,sad,angry",conv_00077
msg_00590,"Honestly, i do not feel safe with my own thoughts.",suicidal,,False,suicidal,conv_00077
msg_00108,I feel emotionally drained and low.,sad,,False,sad,conv_00077
msg_00545,"Honestly, i am thinking about ending my life.",suicidal,,False,suicidal,conv_00077
msg_00527,I keep thinking everyone would be better without me.,suicidal,,False,suicidal,conv_00078
msg_00332,I cannot settle my thoughts.,anxious,,False,anxious,conv_00078
msg_00101,I feel deeply sad today.,sad,,False,sad,conv_00078
msg_00495,"Today, i went about my day as usual.",neutral,,False,neutral,conv_00078
msg_00631,"I am hurt by what happened, and the hurt keeps turning into anger. I could feel both reactions at once.",sad,angry,True,"sad,angry",conv_00079
msg_00343,I cannot stop worrying about things I cannot control.,anxious,,False,anxious,conv_00079
msg_00180,I cannot pretend I am okay today.,sad,,False,sad,conv_00079
msg_00305,I have a knot in my stomach.,anxious,,False,anxious,conv_00079
msg_00552,"Today, i do not want to be alive anymore.",suicidal,,False,suicidal,conv_00080
msg_00678,"Most of the day was normal, but one interaction really irritated me. The two feelings seemed to sit together rather than replace each other.",angry,neutral,True,"angry,neutral",conv_00080
msg_00150,I am feeling hurt whenever I remember what happened.,sad,,False,sad,conv_00080
msg_00125,I keep replaying a painful memory.,sad,,False,sad,conv_00080
msg_00558,"Today, i feel like I cannot keep living this way.",suicidal,,False,suicidal,conv_00081
msg_00612,"I am happy about the result, but I am still annoyed by how I was treated. It was difficult to describe the mood with one word.",happy,angry,True,"happy,angry",conv_00081
msg_00186,Today left me feeling hopeless about the situation.,sad,,False,sad,conv_00081
msg_00438,"Today, nothing unusual happened today.",neutral,,False,neutral,conv_00081
msg_00421,Nothing significant changed today.,neutral,,False,neutral,conv_00082
msg_00696,"Nothing unusual happened, except for one interaction that left me irritated. I could feel both reactions at once.",neutral,angry,True,"neutral,angry",conv_00082
msg_00354,"Honestly, i am feeling nervous about what might happen.",anxious,,False,anxious,conv_00082
msg_00322,I cannot stop checking my phone.,anxious,,False,anxious,conv_00082
